time,page,user_id,session_id
1639078989,Products,d59a1db2670d464b9c96e12fc79ceb39,15d4b2f024914d98a00e355ed3ab04d2
1639078990,Store,d59a1db2670d464b9c96e12fc79ceb39,15d4b2f024914d98a00e355ed3ab04d2
1639078997,Store,d59a1db2670d464b9c96e12fc79ceb39,15d4b2f024914d98a00e355ed3ab04d2
1639079002,Home,d59a1db2670d464b9c96e12fc79ceb39,fe5eba24cc3d4da3a02c7f871cf23eb7
1639079004,About,d59a1db2670d464b9c96e12fc79ceb39,fe5eba24cc3d4da3a02c7f871cf23eb7
1639079009,Store,d59a1db2670d464b9c96e12fc79ceb39,fe5eba24cc3d4da3a02c7f871cf23eb7
1639079016,Store,d59a1db2670d464b9c96e12fc79ceb39,fe5eba24cc3d4da3a02c7f871cf23eb7
1639079021,Products,d59a1db2670d464b9c96e12fc79ceb39,bb28b4fe6f7d489e99b6fd8875752030
1639079028,About,d59a1db2670d464b9c96e12fc79ceb39,bb28b4fe6f7d489e99b6fd8875752030
1639079030,Store,d59a1db2670d464b9c96e12fc79ceb39,bb28b4fe6f7d489e99b6fd8875752030
1639079044,Store,d59a1db2670d464b9c96e12fc79ceb39,bb28b4fe6f7d489e99b6fd8875752030
1639079051,Contact,d59a1db2670d464b9c96e12fc79ceb39,c7a1c95d848949d183a62eac7ae70e76
1639079057,About,d59a1db2670d464b9c96e12fc79ceb39,c7a1c95d848949d183a62eac7ae70e76
1639079058,Products,d59a1db2670d464b9c96e12fc79ceb39,c7a1c95d848949d183a62eac7ae70e76
1639079073,Products,d59a1db2670d464b9c96e12fc79ceb39,c7a1c95d848949d183a62eac7ae70e76
1639079078,Contact,d59a1db2670d464b9c96e12fc79ceb39,6355412a4b174ba4bff4bc5773702f38
1639079087,Home,d59a1db2670d464b9c96e12fc79ceb39,6355412a4b174ba4bff4bc5773702f38
1639079093,Contact,d59a1db2670d464b9c96e12fc79ceb39,6355412a4b174ba4bff4bc5773702f38
1639079095,Home,d59a1db2670d464b9c96e12fc79ceb39,6355412a4b174ba4bff4bc5773702f38
1639079096,Store,d59a1db2670d464b9c96e12fc79ceb39,6355412a4b174ba4bff4bc5773702f38
1639079104,Home,d59a1db2670d464b9c96e12fc79ceb39,ec10f1b06c4c4f538a6a89a36c3b7873
1639079105,Contact,d59a1db2670d464b9c96e12fc79ceb39,ec10f1b06c4c4f538a6a89a36c3b7873
1639079106,Home,d59a1db2670d464b9c96e12fc79ceb39,ec10f1b06c4c4f538a6a89a36c3b7873
1639079111,About,d59a1db2670d464b9c96e12fc79ceb39,ec10f1b06c4c4f538a6a89a36c3b7873
1639079112,Products,d59a1db2670d464b9c96e12fc79ceb39,87c8756491904e94af5330cd4311e9c7
1639079118,Contact,d59a1db2670d464b9c96e12fc79ceb39,87c8756491904e94af5330cd4311e9c7
1639079125,Products,d59a1db2670d464b9c96e12fc79ceb39,87c8756491904e94af5330cd4311e9c7
1639079132,Contact,d59a1db2670d464b9c96e12fc79ceb39,87c8756491904e94af5330cd4311e9c7
1639079142,Products,d59a1db2670d464b9c96e12fc79ceb39,39a790b944a24b6cb078bb494e19af95
1639079143,Store,d59a1db2670d464b9c96e12fc79ceb39,39a790b944a24b6cb078bb494e19af95
1639079155,Contact,d59a1db2670d464b9c96e12fc79ceb39,39a790b944a24b6cb078bb494e19af95
1639079161,Products,d59a1db2670d464b9c96e12fc79ceb39,39a790b944a24b6cb078bb494e19af95
1639079165,Store,d59a1db2670d464b9c96e12fc79ceb39,b12888e6da334fa0b78e254e511bc96f
1639079166,Contact,d59a1db2670d464b9c96e12fc79ceb39,b12888e6da334fa0b78e254e511bc96f
1639079174,Store,d59a1db2670d464b9c96e12fc79ceb39,b12888e6da334fa0b78e254e511bc96f
1639079175,Products,d59a1db2670d464b9c96e12fc79ceb39,b12888e6da334fa0b78e254e511bc96f
1639079180,Store,d59a1db2670d464b9c96e12fc79ceb39,b12888e6da334fa0b78e254e511bc96f
1639079189,Contact,d59a1db2670d464b9c96e12fc79ceb39,afdc50ae2385428f9bcf5aae4fcee890
1639079190,Store,d59a1db2670d464b9c96e12fc79ceb39,afdc50ae2385428f9bcf5aae4fcee890
1639079196,Contact,d59a1db2670d464b9c96e12fc79ceb39,afdc50ae2385428f9bcf5aae4fcee890
1639079206,Products,d59a1db2670d464b9c96e12fc79ceb39,afdc50ae2385428f9bcf5aae4fcee890
1639079212,Store,8c1d74d2a26d43a2aeafa68976e4c104,2fc1720dd19541daba72dd9a2b19615a
1639079219,Products,8c1d74d2a26d43a2aeafa68976e4c104,2fc1720dd19541daba72dd9a2b19615a
1639079224,Contact,8c1d74d2a26d43a2aeafa68976e4c104,2fc1720dd19541daba72dd9a2b19615a
1639079234,Store,8c1d74d2a26d43a2aeafa68976e4c104,2fc1720dd19541daba72dd9a2b19615a
1639079237,Products,8c1d74d2a26d43a2aeafa68976e4c104,2fc1720dd19541daba72dd9a2b19615a
